stars	size_kb	full_name	description
123	3026	ayush-that/sub-agents.directory	Sub-Agents Directory — 100+ sub-agent prompts and MCP servers
56	286	agntcy/dir-spec	Agent Directory Service spec
142	9	DirectorySurf/awesome-ai-agents-directories	AI agents directories list
1547	486	ai-boost/awesome-ai-for-science	AI tools/libraries/papers/datasets/frameworks
469	1073	eudk/awesome-ai-tools	Large AI tool list 2026
5206	607	mahseema/awesome-ai-tools	Curated AI top tools
1119	3140	Jenqyang/Awesome-AI-Agents	Autonomous agents powered by LLM
847	277	caramaschiHG/awesome-ai-agents-2026	300+ AI agents/frameworks/tools 2026
1377	882	slavakurilyak/awesome-ai-agents	300+ agentic AI resources
967	2614	AgenticHealthAI/Awesome-AI-Agents-for-Healthcare	Latest healthcare AI agents
71	3276	sqliteai/adam	Embeddable C AI agent library
402	77	harish-garg/gemini-cli-prompt-library	Gemini CLI prompt library
